filename,filepath,total_rows,total_columns,analyzed_columns,filled_rows,incomplete_rows,empty_rows,empty_cell_percentage,data_dict_file,data_dict_status,total_variables,status
abcd_tfsstr2semdp101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tfsstr2semdp101.txt,16291,932,921,16164,67,60,0.56,NOT FOUND,no match,0,success
midr2bwp102.txt,/home/rif17002/honors_thesis/ABCD_files/midr2bwp102.txt,16570,323,312,16416,154,0,0.48,NOT FOUND,no match,0,success
abcd_lmtlb01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_lmtlb01.txt,20880,34,23,1,20879,0,82.6,NOT FOUND,no match,0,success
abcd_hsss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_hsss01.txt,39767,38,27,11400,14140,14227,47.41,NOT FOUND,no match,0,success
yalcs01.txt,/home/rif17002/honors_thesis/ABCD_files/yalcs01.txt,39767,20,9,1,39766,0,86.28,NOT FOUND,no match,0,success
abcd_midr1bwp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midr1bwp202.txt,17220,691,680,17114,57,49,0.41,NOT FOUND,no match,0,success
abcd_midabwdp01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midabwdp01.txt,17233,986,975,17153,31,49,0.36,NOT FOUND,no match,0,success
abcd_sss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_sss01.txt,11877,14,3,1,0,11876,99.99,NOT FOUND,no match,0,success
abcd_ypsq101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ypsq101.txt,22291,21,10,19781,3,2507,11.25,NOT FOUND,no match,0,success
psb01.txt,/home/rif17002/honors_thesis/ABCD_files/psb01.txt,39767,15,4,39475,292,0,0.48,NOT FOUND,no match,0,success
abcd_lt01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_lt01.txt,74168,14,3,4553,69547,68,45.43,NOT FOUND,no match,0,success
abcd_ddtidp101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ddtidp101.txt,19588,992,981,18684,33,871,4.45,NOT FOUND,no match,0,success
generaled_anx_disorder_p01.txt,/home/rif17002/honors_thesis/ABCD_files/generaled_anx_disorder_p01.txt,33516,65,54,1,19978,13537,93.98,NOT FOUND,no match,0,success
abcd_socdev_ctr01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_ctr01.txt,23652,13,2,11611,164,11877,50.56,NOT FOUND,no match,0,success
abcd_ypdms01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ypdms01.txt,39767,40,29,1,39766,0,63.78,NOT FOUND,no match,0,success
mrisstr1sem01.txt,/home/rif17002/honors_thesis/ABCD_files/mrisstr1sem01.txt,16948,709,698,16844,104,0,0.47,NOT FOUND,no match,0,success
abcd_ps01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ps01.txt,22291,74,63,13,21834,444,38.75,NOT FOUND,no match,0,success
abcd_tfsstr1bwdp201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tfsstr1bwdp201.txt,16948,126,115,16860,0,88,0.52,NOT FOUND,no match,0,success
pet_ownership01.txt,/home/rif17002/honors_thesis/ABCD_files/pet_ownership01.txt,6252,19,8,6243,9,0,0.02,NOT FOUND,no match,0,success
abcd_fbwss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_fbwss01.txt,35867,35,24,1,35866,0,4.19,NOT FOUND,no match,0,success
srpf01.txt,/home/rif17002/honors_thesis/ABCD_files/srpf01.txt,39767,25,14,1,39692,74,14.45,NOT FOUND,no match,0,success
abcd_drsip101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_drsip101.txt,19588,753,742,18680,908,0,4.43,NOT FOUND,no match,0,success
abcd_lpohstbi01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_lpohstbi01.txt,27891,45,34,1,27890,0,75.95,NOT FOUND,no match,0,success
abcd_tmidr1semdp101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tmidr1semdp101.txt,17220,982,971,17114,56,50,0.42,NOT FOUND,no match,0,success
mrisstr2bwsem01.txt,/home/rif17002/honors_thesis/ABCD_files/mrisstr2bwsem01.txt,16291,709,698,16164,127,0,0.56,NOT FOUND,no match,0,success
obs_compulsive_disorder_p01.txt,/home/rif17002/honors_thesis/ABCD_files/obs_compulsive_disorder_p01.txt,33516,95,84,1,19869,13646,83.53,NOT FOUND,no match,0,success
abcd_sst_tlb01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_sst_tlb01.txt,17440,34,23,1,17439,0,82.6,NOT FOUND,no match,0,success
abcd_midasemdp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midasemdp202.txt,17233,541,530,17165,18,50,0.35,NOT FOUND,no match,0,success
abcd_screen01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_screen01.txt,11877,91,80,1,11876,0,31.83,NOT FOUND,no match,0,success
abcd_ycrpf01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ycrpf01.txt,16666,26,15,1,16561,104,38.1,NOT FOUND,no match,0,success
abcd_socdev_child_pb01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_child_pb01.txt,2301,28,17,2287,7,7,0.32,NOT FOUND,no match,0,success
soc_dev_fu_feedback_p01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_feedback_p01.txt,1627,47,36,1,1599,27,53.74,NOT FOUND,no match,0,success
abcd_dti_p101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_dti_p101.txt,19588,771,760,18700,888,0,4.44,NOT FOUND,no match,0,success
nbackr2sem01.txt,/home/rif17002/honors_thesis/ABCD_files/nbackr2sem01.txt,16338,905,894,16092,246,0,1.0,NOT FOUND,no match,0,success
soc_dev_fu_personality01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_personality01.txt,1627,131,120,1618,0,9,0.55,NOT FOUND,no match,0,success
tic_disorders_p01.txt,/home/rif17002/honors_thesis/ABCD_files/tic_disorders_p01.txt,33516,23,12,1,0,33515,100.0,NOT FOUND,no match,0,success
abcd_lpsaiq01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_lpsaiq01.txt,27891,475,464,1,27890,0,83.06,NOT FOUND,no match,0,success
abcd_mcqc01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mcqc01.txt,16666,93,82,1,16665,0,19.31,NOT FOUND,no match,0,success
neurocog_youth_session01.txt,/home/rif17002/honors_thesis/ABCD_files/neurocog_youth_session01.txt,22291,59,48,1,22290,0,6.91,NOT FOUND,no match,0,success
panic_disorder_p01.txt,/home/rif17002/honors_thesis/ABCD_files/panic_disorder_p01.txt,33516,51,40,1,19868,13647,95.9,NOT FOUND,no match,0,success
abcd_bkfs01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_bkfs01.txt,16666,301,290,1,16609,56,33.72,NOT FOUND,no match,0,success
abcd_imgincl01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_imgincl01.txt,19659,19,8,1,19658,0,12.5,NOT FOUND,no match,0,success
suicidality_p01.txt,/home/rif17002/honors_thesis/ABCD_files/suicidality_p01.txt,33516,50,39,1,19978,13537,87.09,NOT FOUND,no match,0,success
abcd_socdev_p_vic01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_p_vic01.txt,2301,864,853,1,2300,0,82.2,NOT FOUND,no match,0,success
diff_emotion_reg_p01.txt,/home/rif17002/honors_thesis/ABCD_files/diff_emotion_reg_p01.txt,6252,41,30,6148,104,0,1.61,NOT FOUND,no match,0,success
abcd_auto_postqc01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_auto_postqc01.txt,19590,31,20,1,19589,0,8.76,NOT FOUND,no match,0,success
led_school_part_301.txt,/home/rif17002/honors_thesis/ABCD_files/led_school_part_301.txt,10528,801,790,1,10527,0,53.66,NOT FOUND,no match,0,success
abcd_ydmes01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ydmes01.txt,21640,22,11,21597,0,43,0.2,NOT FOUND,no match,0,success
abcd_prepost01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_prepost01.txt,22291,27,16,11,0,22280,99.95,NOT FOUND,no match,0,success
mrirscor02.txt,/home/rif17002/honors_thesis/ABCD_files/mrirscor02.txt,18990,271,260,18777,213,0,0.49,NOT FOUND,no match,0,success
disruptive_mood_dysreg_p01.txt,/home/rif17002/honors_thesis/ABCD_files/disruptive_mood_dysreg_p01.txt,33516,22,11,653,0,32863,98.05,NOT FOUND,no match,0,success
disruptive_mood_dysreg01.txt,/home/rif17002/honors_thesis/ABCD_files/disruptive_mood_dysreg01.txt,33516,22,11,175,0,33341,99.48,NOT FOUND,no match,0,success
eating_disorders_p01.txt,/home/rif17002/honors_thesis/ABCD_files/eating_disorders_p01.txt,33516,99,88,1,29859,3656,89.12,NOT FOUND,no match,0,success
abcd_socdev_child_rde01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_child_rde01.txt,2301,239,228,1,2293,7,75.72,NOT FOUND,no match,0,success
abcd_yssbpm01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_yssbpm01.txt,58927,42,31,44021,14906,0,1.98,NOT FOUND,no match,0,success
abcd_smrip20201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_smrip20201.txt,19588,372,361,1,19587,0,1.11,NOT FOUND,no match,0,success
abcd_ptsd01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ptsd01.txt,39767,28,17,21819,1,17947,45.13,NOT FOUND,no match,0,success
