"subjectkey","subjectkey_numeric","class","prob1","prob2","prob3","prob4","prob5"
"NDAR_INV6L7B1GX3",2518,4,0.000290088133967479,1.77239172014849e-14,0.433271436037702,0.56627052698813,0.000167948840183411
"NDAR_INV6L8KUMX4",2519,5,2.00761588856866e-10,0.0126326698633148,4.00434231217385e-11,5.23360515619721e-11,0.987367329843544
"NDAR_INV6L8M5J2R",2520,4,0.000582816227230393,2.411300909517e-13,0.433006705463367,0.565928362349388,0.000482115959773486
"NDAR_INV6LBMATCR",2521,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6LDKEBNM",2522,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6LJL1R97",2523,4,1.8794901237164e-05,7.8778871899824e-12,0.417616364294341,0.545791725413484,0.0365731153830601
"NDAR_INV6LMU82AJ",2524,4,8.31166611065709e-05,7.22937047727199e-12,0.431206213162412,0.563567966671803,0.00514270349744886
"NDAR_INV6LNG5JWF",2525,5,3.69909452437858e-05,0.0843895586784281,4.59718299310179e-06,6.00854212689975e-06,0.915562844651208
"NDAR_INV6LNW0KV6",2526,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6LPGM9UU",2527,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6LR7XBTB",2528,4,0.301540773346701,6.40325314901505e-09,0.298970771867612,0.390761758747323,0.0087266896351102
"NDAR_INV6LU3M80M",2529,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6LW8CTG9",2530,2,0.0167853646084419,0.676661280609143,4.12119047817916e-07,5.38671178890732e-07,0.306552403992188
"NDAR_INV6LWR0ZHT",2531,1,0.78650490169734,0.174207035839454,0.000258425383568902,0.000337781953375745,0.0386918551262619
"NDAR_INV6M1Y11R0",2532,4,0.00415237155703365,1.40040285142078e-11,0.429978607837719,0.561974099045318,0.00389492154592518
"NDAR_INV6M531U7A",2533,4,1.73076500523255e-05,4.10218267550172e-15,0.43334825772442,0.566362431944371,0.000272002681153073
"NDAR_INV6MB1G78W",2534,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6MDP38L0",2535,5,6.48516964696698e-05,3.79530563945207e-06,0.000319930106720556,0.000418143569378589,0.999193279321792
"NDAR_INV6MDZCZBV",2536,4,0.0763273119052463,1.95903718906088e-11,0.400122406916585,0.522963912121805,0.000586369036773145
"NDAR_INV6MH7AY14",2537,5,0.122357633677447,0.000903749370281589,0.00822103893576387,0.0107451855364365,0.857772392480071
"NDAR_INV6MRZ56RM",2538,4,5.55987816622266e-06,5.14685871650397e-14,0.433107230385916,0.566044091184188,0.000843118551679008
"NDAR_INV6MVAMGRE",2539,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6N1XNYN7",2540,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6N349E4J",2541,1,0.837577074822538,0.160807543245223,1.53775374701765e-07,2.01004440208305e-07,0.00161502715242384
"NDAR_INV6N503HJZ",2542,1,0.672177009388984,5.68803893469054e-08,0.136819115663445,0.178827310877467,0.012176507189714
"NDAR_INV6NFVRHFA",2543,5,0.00758476195203526,2.54210164267994e-07,0.108207871867649,0.141426726636074,0.742780385334077
"NDAR_INV6NJ4UWH8",2544,4,3.96693164681748e-05,2.86990119615971e-15,0.433405107140159,0.566440415908645,0.000114807634724786
"NDAR_INV6NKPMPRL",2545,5,7.26245695075802e-06,9.96607644385908e-06,4.53083283254104e-05,5.92172386337202e-05,0.999878245899646
"NDAR_INV6NLC9UXB",2546,5,3.77994178231547e-05,2.05221372033813e-07,0.00214089561151977,0.00279808010369267,0.995023019645592
"NDAR_INV6NM33PV7",2547,1,0.7488419410644,0.16735894424638,0.00877786956880442,0.0114730227365911,0.0635482223838251
"NDAR_INV6NR4NZWL",2548,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6NRB61V1",2549,2,4.91939540068834e-08,0.999993548177082,2.89603156999117e-16,3.78548393992886e-16,6.40262896307482e-06
"NDAR_INV6NU2WWNR",2550,1,0.541064076453561,5.05850791876352e-06,0.15120117879736,0.197622565334884,0.110107120906276
"NDAR_INV6NUTPPMD",2551,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
